Time,Open,High,Low,Last,Change,Volume
"11/05/18 20:00",273.39,273.39,273.39,273.39,-0.69,0
"11/05/18 19:55",274.11,274.11,274.06,274.08,-0.0099999999999909,4050
"11/05/18 19:50",274.08,274.19,274.06,274.09,0.029999999999973,5594
"11/05/18 19:45",274.02,274.09,274.02,274.06,0.050000000000011,1150
"11/05/18 19:40",274,274.09,274,274.01,-0.050000000000011,1269
"11/05/18 19:35",274.11,274.16,274.06,274.06,-0.060000000000002,1130
"11/05/18 19:30",273.87,274.17,273.87,274.12,0.28000000000003,7750
"11/05/18 19:25",273.78,273.84,273.78,273.84,0.069999999999993,1144
"11/05/18 19:20",273.77,273.77,273.77,273.77,0.0099999999999909,990
"11/05/18 19:15",273.69,273.86,273.69,273.76,0.069999999999993,6396
"11/05/18 19:10",273.62,273.69,273.56,273.69,0.04000000000002,3625
"11/05/18 19:00",273.69,273.74,273.65,273.65,0,3500
"11/05/18 18:55",273.71,273.71,273.6,273.65,-0.10000000000002,4470
"11/05/18 18:50",273.7,273.75,273.7,273.75,0.069999999999993,850
"11/05/18 18:45",273.73,273.73,273.67,273.68,-0.099999999999966,10335
"11/05/18 18:40",273.72,273.78,273.71,273.78,0.029999999999973,1725
"11/05/18 18:35",273.69,273.8,273.69,273.75,0.12,12595
"11/05/18 18:30",273.39,273.64,273.39,273.63,-0.0099999999999909,700
"11/05/18 18:25",273.67,273.69,273.63,273.64,0,6198
"11/05/18 18:20",273.69,273.69,273.64,273.64,-0.04000000000002,700
"11/05/18 18:15",273.64,273.69,273.64,273.68,0.060000000000002,15739
"11/05/18 18:10",273.65,273.65,273.58,273.62,-0.029999999999973,17315
"11/05/18 18:05",273.56,273.79,273.56,273.65,0.079999999999984,26831
"11/05/18 18:00",273.56,273.57,273.42,273.57,0.069999999999993,27398
"11/05/18 17:55",273.49,273.54,273.49,273.5,0,2793
"11/05/18 17:50",273.51,273.55,271.89,273.5,-0.04000000000002,7764
"11/05/18 17:40",273.53,273.54,273.51,273.54,0.020000000000039,3599
"11/05/18 17:35",273.5,273.52,273.5,273.52,0.019999999999982,3998
"11/05/18 17:30",273.51,273.51,273.5,273.5,0,5222
"11/05/18 17:25",273.51,273.52,273.5,273.5,-0.0099999999999909,7600
"11/05/18 17:20",273.52,273.52,273.51,273.51,-0.0099999999999909,9600
"11/05/18 17:15",273.57,273.59,273.52,273.52,-0.060000000000002,62494
"11/05/18 17:10",273.64,273.64,273.58,273.58,-0.060000000000002,21616
"11/05/18 17:05",273.61,273.64,273.61,273.64,0.050000000000011,5900
"11/05/18 17:00",273.59,273.59,273.59,273.59,-0.050000000000011,1322
"11/05/18 16:55",273.59,273.67,273.4093,273.64,0.050000000000011,98601
"11/05/18 16:50",273.52,273.59,273.5,273.59,0.079999999999984,44178
"11/05/18 16:45",273.49,273.51,273.39,273.51,0.039999999999964,183353
"11/05/18 16:40",273.47,273.48,273.4093,273.47,0.010000000000048,299488
"11/05/18 16:35",273.53,273.53,273.46,273.46,-0.10000000000002,15165
"11/05/18 16:30",273.53,273.63,273.46,273.56,0.03000000000003,152712
"11/05/18 16:25",273.6,273.6,273.53,273.53,-0.04000000000002,28302
"11/05/18 16:20",273.54,273.6,273.317,273.57,0.04000000000002,283987
"11/05/18 16:15",273.62,273.62,273.52,273.53,-0.060000000000002,10688
"11/05/18 16:10",273.39,273.71,273.39,273.59,-0.14000000000004,204963
"11/05/18 16:05",273.75,273.81,273.61,273.73,-0.019999999999982,762615
"11/05/18 16:00",273.43,273.76,271.18,273.75,0.31999999999999,4520693
"11/05/18 15:55",273.41,273.65,273.29,273.43,0.019999999999982,2533983
"11/05/18 15:50",273.305,273.42,273.13,273.41,0.11000000000001,1228446
"11/05/18 15:45",273.32,273.4,273.03,273.3,-0.019999999999982,876391
"11/05/18 15:40",273.31,273.43,273.19,273.32,0.0099999999999909,693728
"11/05/18 15:35",273.31,273.42,273.18,273.31,0,498489
"11/05/18 15:30",273.32,273.36,273.0301,273.31,-9.9999999974898E-5,519486
"11/05/18 15:25",273.18,273.34,272.88,273.3101,0.12509999999997,1244724
"11/05/18 15:20",273.52,273.555,273.15,273.185,-0.34499999999997,902383
"11/05/18 15:15",273.86,273.87,273.445,273.53,-0.34000000000003,594919
"11/05/18 15:10",273.69,273.94,273.68,273.87,0.19,287580
"11/05/18 15:05",273.68,273.92,273.63,273.68,0.0099999999999909,395491
"11/05/18 15:00",273.74,273.8499,273.59,273.67,-0.079999999999984,379164
"11/05/18 14:55",273.88,273.9,273.72,273.75,-0.13999999999999,362883
