Time,Open,%Change
04/14/20 11:00,727.55,--start--
04/14/20 11:10,711.02,-2.272%
04/14/20 11:40,725.413,2.024%
07/08/20 14:45,1356.88,--start--
07/08/20 14:55,1314.99,-3.087%
07/08/20 15:25,1363.93,3.722%
